Id,Description,Category,0 points,1 point,2 points,3 points,4 points,5 points,Max score,Grade,Notes
11,How much the environment supports and overall eases the development process?,Functional appropriateness (Functional suitability),Not at all,"Just a bit, lacking support at least in one functionality",,"Environment provides a decent support and benefits gained from using it are unquestioned, but some functionalities could be either improved or the environment is lacking some essential functionalities",,Environment provides full support for developers in identified functionalities (score from feature ids 0-9 = 43),5,3,Should offer better support for ensuring security and gas optimization out-of-the-box
12,Development environment supports Solidity and Vyper?,Functional completeness (Functional suitability),No,,,"Yes, only another",,"Yes, both",5,5,Requires to import official plugin
13,Development environment provide an extension for VS Code?,Functional completeness (Functional suitability),No,,,Yes,,,3,3,
14,Does the development environment operate as fast as expected?,Time behaviour (Performance efficiency),"No, user constantly (either on multiple functionalities or on an hourly basis) thinks how slow it is","No, and sometimes (either on a some functionality or on a daily basis) the user thinks that it is slower than expected","Yes, user doesn't pay any attention to the matter","Yes, and sometimes (either on a some functionality or on a daily basis) the user notices that it is even faster than expected","Yes, user constantly (either on multiple functionalities or on an hourly basis) thinks that it is faster than expected",,4,3,Testing is noticeable fast
15,Does the development environment require so much resources that it negatively affects using the PC?,Resource utilization (Performance efficiency),"Yes, and it can be noticed constantly (on an hourly basis)","Yes, and it can be noticed sometimes (on a daily basis)",,"No, using the development environment doesn't negatively affect using the PC",,,3,3,
16,Development environment has restrictions regarding the size of the project?,Capacity (Performance efficiency),Yes,,,,,No,5,5,
17,Can Open Zeppelin be imported (or is it by default) within the development environment?,"Co-existence, Interoperability (Compatibility)",No,,,Yes,,,3,3,
18,Can Ganache be imported (or is it by default) within the development environment?,"Co-existence, Interoperability (Compatibility)",No,,,Yes,,,3,3,
19,Can Waffle be imported (or is it by default) within the development environment?,"Co-existence, Interoperability (Compatibility)",No,,,Yes,,,3,3,
20,Environment allows importing plugins/ external tools within the environment?,"Co-existence, Interoperability (Compatibility)",No,,,,,Yes,5,5,
21,Where the suitability and the main features of the environment can be determined?,Appropriateness recognizability (Usability),Unable to determine from the internet,From the internet,Official documentation,Either on the homepage or on the GitHub repository README,Both on the homepage and on the GitHub repository README,,4,4,
22,Development environment documentation have a search function?,Learnability (Usability),No,Yes,,,,,1,1,
23,Environment documentation provides up-to-date information/instructions for installing the dependencies?,Learnability (Usability),No,,,,Yes,,4,4,
24,Development environment have smart contract and dApp project tutorials/examples?,Learnability (Usability),No project tutorials/ examples,"Yes, but the example(s) has a lot of problems (docs outdated, confusing, etc.) and following it is highly challenging","Yes, but the example(s) has some problems (docs outdated, confusing, etc.), but tutorial is still fairly easily followable",,"Just one of the tutorials exists, and it is accurate, up-to-date, and easily followable","Yes, both tutorials exists, and they are accurate, up-to-date, and easily followable",5,4,
25,"Generally (as there is always some outdated information), does the documentation appears to be up-to-date?",Learnability (Usability),No,,Mostly (certain section is not up-to-date),,,Yes,5,5,
26,"Documentation explains how plugins, external tools, or alternative functionalities can be imported to the environment?",Learnability (Usability),"Doesn't support importing any of these, or documentation doesn't explain how it can be done",Documentation is confusing and hard to follow,"Documentation contains all the relevant information, but it has some shortcoming (e.g., confusing layout, missing commands etc.)","Documentation contains all the relevant information, and it provides examples of terminal commands and/or code examples",,,3,3,
27,How much the documentation could be improved?,Learnability (Usability),Pretty much any change would be an improvement,"A lot, there is major problems with structure, presentation, language etc.","Some, there is problems with structure, presentation, language etc.","A bit, the standard level, provides all the basic information in a decent format, but doesn't stand out in any way","Not by much, few minor changes and improvements to structure, presentation, language etc.","Documentation is nearly perfect, comes to personal preference whether any change would improve the documentation",5,5,
28,"Development environment have its own forum, in which developers can ask help from other developers?",Learnability (Usability),No,"Yes, but it isn't active (there are clearly more suitable platforms for discussion, such as StackOverflow)","Yes, and it is active (has at least 1000 members or most of the questions are being answered within two days)",,,,2,2,"Discord server, over 8000 members"
29,"Are the default commands to execute functionalities/ operate environment long and difficult? (e.g., majority of them contain more than 20 characters, at first it is beneficial to save them in a text file?)",Operability (Usability),Yes,"Some, but not all",No,,,,2,1,
30,Are you able to start a new project under 10 minutes with the environment (including the installation and possible configuration)?,Operability (Usability),No,,Yes,,,,2,2,
31,How many open issues the GitHub repository has from the past 30 days?,Maturity (Reliability),Over 40 open issues,40<issues<=30,30<issues<=20,20<issues<=10,10<issues<=5,Less than 5 open issues,5,0,42 open issues
32,"Under normal circumstances, development environment can be used any given time (e.g., not down every night at the same time)?",Availability (Reliability),No,,,,,Yes,5,5,
33,"Can security flaws be detected, or is there any reason to questionable the security (including template projects)?","Confidentiality, Integrite (Security)",Security flaws can be detected during the evaluation,"There is valid reasons to question the security of the development environment (e.g., critical vulnerabilities on dependencies)","The security of the development environment doesn't spark trust towards it, but no valid reasons to question it (e.g., vulnerabilities on dependencies)",,,No reason to question the security of the development environment,5,1,1 critical vulnerability identified by GitHub dependabot on template projects
34,What is the package's health score on Snyk (https://snyk.io/advisor/)?,Confidentiality (Security),Score <= 75,75< score <=80,80< score <=85,85< score <=90,90< score <=95,Score > 95,5,3,Score is 89
35,"User can change some of the functionalities to alternative solutions (e.g., testing framework, development node)? ",Modularity (Maintainability),Unable,,,,,Yes,5,5,
36,How much effort it takes to update the development environment?,(Maintainability),Requires a lot of work and searching for information (>10 min),Requires few Google searches or reviewing documentation (<10 min),"Effortless, can be done from terminal under 3 minutes",,,,3,3,
37,What is the philosophy of the development environment about balancing new technologies/functionalities and stability?,(Maintainability),"An extreme, uses either outdated technologies or constantly introduces breaking changes with new technologies",,"A somewhat balanced, uses relatively new technologies and doesn’t often introduce breaking changes",,,"A perfect blend, uses the newest technologies, but doesn't still introduce breaking changes on releases",5,2,
38,"Development environment can be used on Linux, macOS, and on Windows 10?",Adaptability (Portability),No,,,,,Yes,5,5,
39,"Does the development environment have pre-requirements for installation, and how much effort installing those requires?",Installability (Portability),"Pre- requirements require a lot of effort (e.g., process is difficult and confusing, >15 min)",,"Pre- requirements require some effort (e.g., documentation about the process could be clearer, <15 min)",,,"No pre- requirements, or can be done from terminal under 3 minutes with the instructions on documentation",5,2,"The process should be included in the docs, at the moment only explained in tutorial, which is a separated from the docs"
40,How much effort does the development environment installing process require?,Installability (Portability),Installation process is difficult and it requires a lot of work (>10 min),,Requires few Google searches or some reading of the documentation (<10 min),,,Can be installed from terminal under 2 minutes with the instructions on documentation,5,5,
